    Albury Wodonga Health [Albury Campus]-Murray, public hospital
    Armidale Hospital-New England, public hospital
    Auburn Hospital-Sydney, public hospital
    Ballina Hospital-Richmond-Tweed, public hospital
    Balmain Hospital-Sydney, public hospital
    Balranald Multi Purpose Service-Murray, public hospital
    Bankstown Lidcombe Hospital-Sydney, public hospital
    Baradine Multi Purpose Service-North Western NSW, public hospital
    Barham Hospital-Murray, public hospital
    Barraba Multi Purpose Service-New England, public hospital
    Batemans Bay Hospital-South Eastern NSW, public hospital
    Bathurst Hospital-Central NSW, public hospital
    Batlow/Adelong Multi Purpose Service-Murrumbidgee, public hospital
    Bega Hospital-South Eastern NSW, public hospital
    Bellinger River District Hospital-NSW Mid-North Coast, public hospital
    Belmont Hospital-Newcastle, Hunter, public hospital
    Berrigan Multi Purpose Service-Murray, public hospital
    Bingara Multi Purpose Service-New England, public hospital
    Blacktown Hospital-Sydney, public hospital
    Blayney Multi Purpose Service-Central NSW, public hospital
    Blue Mountains Hospital-Sydney, public hospital
    Boggabri Multi Purpose Service-New England, public hospital
    Bombala Multi Purpose Service-South Eastern NSW, public hospital
    Bonalbo Hospital-Richmond-Tweed, public hospital
    Boorowa Multi Purpose Service-South Eastern NSW, public hospital
    Bourke Multi Purpose Service-North Western NSW, public hospital
    Bourke Street Health Service-South Eastern NSW, public hospital
    Bowral Hospital-Illawarra, public hospital
    Braeside Hospital-Sydney, public hospital
    Braidwood Multi Purpose Service-South Eastern NSW, public hospital
    Brewarrina Multi Purpose Service-North Western NSW, public hospital
    Broken Hill Hospital-Far West NSW, public hospital
    Bulahdelah Hospital-Hunter, public hospital
    Bulli Hospital-Wollongong, Illawarra, public hospital
    Byron Bay Hospital-Richmond-Tweed, public hospital
    Calvary Hospital-Sydney, public hospital
    Calvary Mater Newcastle Hospital-Hunter, public hospital
    Camden Hospital-Sydney, public hospital
    Campbelltown Hospital-Sydney, public hospital
    Canowindra Hospital-Central NSW, public hospital
    Canterbury Hospital-Sydney, public hospital
    Casino Hospital-Richmond-Tweed, public hospital
    Cessnock Hospital-Hunter, public hospital
    Cobar Hospital-North Western NSW, public hospital
    Coffs Harbour Hospital-NSW Mid-North Coast, public hospital
    Coledale Hospital-Wollongong, Illawarra, public hospital
    Collarenebri Multi Purpose Service-North Western NSW, public hospital
    Concord Hospital-Sydney, public hospital
    Condobolin Hospital-Central NSW, public hospital
    Coolah Multi Purpose Service-North Western NSW, public hospital
    Coolamon Multi Purpose Service-Murrumbidgee, public hospital
    Cooma Hospital-South Eastern NSW, public hospital
    Coonabarabran Hospital-North Western NSW, public hospital
    Coonamble Multi Purpose Service-North Western NSW, public hospital
    Cootamundra Hospital-Murrumbidgee, public hospital
    Coraki Hospital-Richmond-Tweed, public hospital
    Coral Tree Family Centre-Sydney, public hospital
    Corowa Hospital-Murray, public hospital
    Cowra Hospital-Central NSW, public hospital
    Crookwell Hospital-South Eastern NSW, public hospital
    Cudal Health Service-Central NSW, public hospital
    Culcairn Multi Purpose Service-Murray, public hospital
    Cumberland Hospital-Sydney, public hospital
    David Berry Hospital-Illawarra, public hospital
    Delegate Multi Purpose Service-South Eastern NSW, public hospital
    Deniliquin Hospital-Murray, public hospital
    Denman Multi Purpose Service-Hunter, public hospital
    Dorrigo Multi Purpose Service-NSW Mid-North Coast, public hospital
    Dubbo Hospital-North Western NSW, public hospital
    Dunedoo Multi Purpose Service-North Western NSW, public hospital
    Dungog Hospital-Hunter, public hospital
    Eugowra Hospital-Central NSW, public hospital
    Fairfield Hospital-Sydney, public hospital
    Finley Hospital-Murray, public hospital
    Forbes Hospital-Central NSW, public hospital
    Gilgandra Multi Purpose Service-North Western NSW, public hospital
    Glen Innes Hospital-New England, public hospital
    Gloucester Hospital-Hunter, public hospital
    Goodooga Health Service-North Western NSW, public hospital
    Gosford Hospital-Sydney, public hospital
    Goulburn Hospital-South Eastern NSW, public hospital
    Gower Wilson Multi Purpose Service-NSW Mid-North Coast, public hospital
    Grafton Base Hospital-NSW Mid-North Coast, public hospital
    Greenwich Hospital-Sydney, public hospital
    Grenfell Multi Purpose Service-Central NSW, public hospital
    Griffith Hospital-Murrumbidgee, public hospital
    Gulargambone Multi Purpose Service-North Western NSW, public hospital
    Gulgong Health Service-North Western NSW, public hospital
    Gundagai Hospital-Murrumbidgee, public hospital
    Gunnedah Hospital-New England, public hospital
    Guyra Multi Purpose Service-New England, public hospital
    Hawkesbury Hospital-Sydney, public hospital
    Hay Hospital-Murrumbidgee, public hospital
    Henty Multi Purpose Service-Murray, public hospital
    Hillston Hospital-Murrumbidgee, public hospital
    Holbrook Hospital-Murray, public hospital
    Hornsby Ku-ring-gai Hospital-Sydney, public hospital
    Hunter New England Mater Mental Health Service-Hunter, public hospital
    Illawarra Mental Health Services-Illawarra, public hospital
    Inverell Hospital-New England, public hospital
    Ivanhoe Hospital-Far West NSW, public hospital
    Jerilderie Multi Purpose Service-Murray, public hospital
    John Hunter Hospital-Newcastle, Hunter, public hospital
    Junee Multi Purpose Service-Murrumbidgee, public hospital
    Justice Health Services-Sydney, public hospital
    Karitane Mothercraft Society-Sydney, public hospital
    Kempsey Hospital-NSW Mid-North Coast, public hospital
    Kenmore Hospital-South Eastern NSW, public hospital
    Kiama Hospital-Illawarra, public hospital
    Kurri Kurri Hospital-Hunter, public hospital
    Kyogle Multi Purpose Service-Richmond-Tweed, public hospital
    Lake Cargelligo Multi Purpose Service-Central NSW, public hospital
    Leeton Hospital-Murrumbidgee, public hospital
    Lightning Ridge Multi Purpose Service-North Western NSW, public hospital
    Lismore Hospital-Richmond-Tweed, public hospital
    Lithgow Hospital-Central NSW, public hospital
    Liverpool Hospital-Sydney, public hospital
    Lockhart Hospital-Murrumbidgee, public hospital
    Long Jetty Health Care Centre-Sydney, public hospital
    Lourdes Hospital Dubbo-North Western NSW, public hospital
    Macksville Hospital-NSW Mid-North Coast, public hospital
    Maclean Hospital-NSW Mid-North Coast, public hospital
    Macquarie Hospital-Sydney, public hospital
    Maitland Hospital-Hunter, public hospital
    Manilla Hospital-New England, public hospital
    Manly Hospital-Sydney, public hospital
    Manning Hospital-NSW Mid-North Coast, public hospital
    Menindee Health Service-Far West NSW, public hospital
    Mercy Care Hospital - Albury-Murray, public hospital
    Mercy Care Hospital - Young-South Eastern NSW, public hospital
    Merriwa Multi Purpose Service-Hunter, public hospital
    Milton Ulladulla Hospital-Illawarra, public hospital
    Molong Hospital-Central NSW, public hospital
    Mona Vale Hospital-Sydney, public hospital
    Moree Hospital-New England, public hospital
    Morisset Hospital-Hunter, public hospital
    Moruya Hospital-South Eastern NSW, public hospital
    Mount Druitt Hospital-Sydney, public hospital
    Mudgee Hospital-North Western NSW, public hospital
    Mullumbimby Hospital-Richmond-Tweed, public hospital
    Murrumburrah-Harden Hospital-South Eastern NSW, public hospital
    Murwillumbah Hospital-Richmond-Tweed, public hospital
    Muswellbrook Hospital-Hunter, public hospital
    Narrabri Hospital-New England, public hospital
    Narrandera Hospital-Murrumbidgee, public hospital
    Narromine Hospital-North Western NSW, public hospital
    Nepean Hospital-Sydney, public hospital
    Neringah Hospital-Sydney, public hospital
    Nimbin Multi Purpose Service-Richmond-Tweed, public hospital
    Nyngan Multi Purpose Service-North Western NSW, public hospital
    Oberon Multi Purpose Service-Central NSW, public hospital
    Orange Health Service-Central NSW, public hospital
